"","header","cite","chamber_senate","judges_names","judge1","judge2","judge3","link_decision"
"1571","Beschluss vom 02. Juli 2014 - 1 BvR 862/13","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 02. Juli 2014 
- 1 BvR 862/13 -, Rn. (1-6),http://www.bverfg.de/e/rk20140702_1bvr086213.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140702_1bvr086213.html"
"1572","Beschluss vom 02. Juli 2014 - 1 BvR 2476/12","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 02. Juli 2014 
- 1 BvR 2476/12 -, Rn. (1-26),http://www.bverfg.de/e/rk20140702_1bvr054312.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140702_1bvr054312.html"
"1573","Beschluss vom 01. Juli 2014 - 2 BvR 989/14","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 01. Juli 2014 
- 2 BvR 989/14 -, Rn. (1-13),http://www.bverfg.de/e/rk20140701_2bvr098914.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Landau  und die Richterinnen Kessal-Wulf,  König ","den Richter Landau ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20140701_2bvr098914.html"
"1574","Beschluss vom 01. Juli 2014 - 1 BvR 601/13","BVerfG, Beschluss des Ersten Senats vom 01. Juli 2014 
- 1 BvR 601/13 -, Rn. (1-2),http://www.bverfg.de/e/rk20140701_1bvr060113.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140701_1bvr060113.html"
"1575","Beschluss vom 30. Juni 2014 - 2 BvR 792/11","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 30. Juni 2014 
- 2 BvR 792/11 -, Rn. (1-29),http://www.bverfg.de/e/rk20140630_2bvr079211.html","hat die 3. Kammer des Zweiten Senats des
      Bundesverfassungsgerichts durch ","den Richter Landau und die Richterinnen Kessal-Wulf, König","den Richter Landau","und die Richterinnen Kessal-Wulf,","König","http://www.bverfg.de/e/rk20140630_2bvr079211.html"
"1576","Beschluss vom 28. Juni 2014 - 1 BvR 1837/12","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 28. Juni 2014 
- 1 BvR 1837/12 -, Rn. (1-15),http://www.bverfg.de/e/rk20140628_1bvr183712.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140628_1bvr183712.html"
"1577","Beschluss vom 28. Juni 2014 - 1 BvR 1157/12","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 28. Juni 2014 
- 1 BvR 1157/12 -, Rn. (1-10),http://www.bverfg.de/e/rk20140628_1bvr115712.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140628_1bvr115712.html"
"1578","Beschluss vom 27. Juni 2014 - 2 BvR 429/12","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 27. Juni 2014 
- 2 BvR 429/12 -, Rn. (1-43),http://www.bverfg.de/e/rk20140627_2bvr042912.html","hat die 3. Kammer des Zweiten Senats des
      Bundesverfassungsgerichts durch ","den Richter Landau und die Richterinnen Kessal-Wulf, König","den Richter Landau","und die Richterinnen Kessal-Wulf,","König","http://www.bverfg.de/e/rk20140627_2bvr042912.html"
"1579","Beschluss vom 27. Juni 2014 - 1 BvR 1313/14","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 27. Juni 2014 
- 1 BvR 1313/14 -, Rn. (1-13),http://www.bverfg.de/e/rk20140627_1bvr131314.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140627_1bvr131314.html"
"1580","Beschluss vom 27. Juni 2014 - 1 BvR 256/14","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 27. Juni 2014 
- 1 BvR 256/14 -, Rn. (1-9),http://www.bverfg.de/e/rk20140627_1bvr025614.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140627_1bvr025614.html"
"1581","Beschluss vom 26. Juni 2014 - 2 BvR 2699/10","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 26. Juni 2014 
- 2 BvR 2699/10 -, Rn. (1-23),http://www.bverfg.de/e/rk20140626_2bvr269910.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle  und die Richter Gerhardt,  Huber ","den Präsidenten Voßkuhle ","und die Richter Gerhardt, ","Huber ","http://www.bverfg.de/e/rk20140626_2bvr269910.html"
"1582","Beschluss vom 26. Juni 2014 - 1 BvR 2135/09","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 26. Juni 2014 
- 1 BvR 2135/09 -, Rn. (1-17),http://www.bverfg.de/e/rk20140626_1bvr213509.html","hat die 3. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","den Vizepräsidenten Kirchhof, den Richter Masing und die Richterin Baer","den Vizepräsidenten Kirchhof,","den Richter Masing","und die Richterin Baer","http://www.bverfg.de/e/rk20140626_1bvr213509.html"
"1583","Beschluss vom 25. Juni 2014 - 1 BvR 668/10","BVerfG, Beschluss des Ersten Senats vom 25. Juni 2014 
- 1 BvR 668/10 -, Rn. (1-69),http://www.bverfg.de/e/rs20140625_1bvr066810.html","hat das Bundesverfassungsgericht - Erster
      Senat - unter Mitwirkung der Richterinnen und Richter ","Vizepräsident Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz","Vizepräsident Kirchhof,","Gaier,","Eichberger,","http://www.bverfg.de/e/rs20140625_1bvr066810.html"
"1584","Beschluss vom 24. Juni 2014 - 1 BvR 3217/07","BVerfG, Beschluss des Ersten Senats vom 24. Juni 2014 
- 1 BvR 3217/07 -, Rn. (1-99),http://www.bverfg.de/e/rs20140624_1bvr321707.html","hat das Bundesverfassungsgericht - Erster
      Senat - unter Mitwirkung der Richterinnen und Richter ","Vizepräsident Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz","Vizepräsident Kirchhof,","Gaier,","Eichberger,","http://www.bverfg.de/e/rs20140624_1bvr321707.html"
"1585","Beschluss vom 24. Juni 2014 - 1 BvR 2926/13","BVerfG, Beschluss des Ersten Senats vom 24. Juni 2014 
- 1 BvR 2926/13 -, Rn. (1-37),http://www.bverfg.de/e/rs20140624_1bvr292613.html","
                                 hat das Bundesverfassungsgericht - Erster Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Vizepräsident Kirchhof,  Gaier,  Eichberger,  Schluckebier,  Masing,  Paulus,  Baer,  Britz ","Vizepräsident Kirchhof, ","Gaier, ","Eichberger, ","http://www.bverfg.de/e/rs20140624_1bvr292613.html"
"1586","Beschluss vom 20. Juni 2014 - 1 BvR 3450/13","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 20. Juni 2014 - 1 BvR 3450/13,http://www.bverfg.de/e/rk20140620_1bvr345013.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140620_1bvr345013.html"
"1587","Beschluss vom 20. Juni 2014 - 1 BvR 980/13","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 20. Juni 2014 
- 1 BvR 980/13 -, Rn. (1-30),http://www.bverfg.de/e/rk20140620_1bvr098013.html","hat die 3. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","den Vizepräsidenten Kirchhof, den Richter Masing und die Richterin Baer","den Vizepräsidenten Kirchhof,","den Richter Masing","und die Richterin Baer","http://www.bverfg.de/e/rk20140620_1bvr098013.html"
"1588","Beschluss vom 16. Juni 2014 - 1 BvR 1443/12","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 16. Juni 2014 
- 1 BvR 1443/12 -, Rn. (1-19),http://www.bverfg.de/e/rk20140616_1bvr144312.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140616_1bvr144312.html"
"1589","Beschluss vom 14. Juni 2014 - 1 BvR 725/14","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 14. Juni 2014 
- 1 BvR 725/14 -, Rn. (1-44),http://www.bverfg.de/e/rk20140614_1bvr072514.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140614_1bvr072514.html"
"1590","Beschluss vom 12. Juni 2014 - 2 BvR 1004/13","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 12. Juni 2014 
- 2 BvR 1004/13 -, Rn. (1-17),http://www.bverfg.de/e/rk20140612_2bvr100413.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Landau  und die Richterinnen Kessal-Wulf,  König ","den Richter Landau ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20140612_2bvr100413.html"
"1591","Beschluss vom 10. Juni 2014 - 1 BvR 669/14","BVerfG, Beschluss des Ersten Senats vom 10. Juni 2014 
- 1 BvR 669/14 -, Rn. (1-24),http://www.bverfg.de/e/rk20140610_1bvr066914.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140610_1bvr066914.html"
"1592","Urteil vom 10. Juni 2014 - 2 BvE 2/09","BVerfG, Urteil des Zweiten Senats vom 10. Juni 2014 
- 2 BvE 2/09 -, Rn. (1-136),http://www.bverfg.de/e/es20140610_2bve000209.html","hat das Bundesverfassungsgericht - Zweiter
      Senat - unter Mitwirkung der Richterinnen und Richter ","Präsident Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Kessal-Wulf","Präsident Voßkuhle,","Lübbe-Wolff,","Gerhardt,","http://www.bverfg.de/e/es20140610_2bve000209.html"
"1593","Urteil vom 10. Juni 2014 - 2 BvE 4/13","BVerfG, Urteil des Zweiten Senats vom 10. Juni 2014 
- 2 BvE 4/13 -, Rn. (1-33),http://www.bverfg.de/e/es20140610_2bve000413.html","hat das Bundesverfassungsgericht - Zweiter
      Senat - unter Mitwirkung der Richterinnen und Richter ","Präsident Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf","Präsident Voßkuhle,","Lübbe-Wolff,","Gerhardt,","http://www.bverfg.de/e/es20140610_2bve000413.html"
"1594","Beschluss vom 04. Juni 2014 - 2 BvR 878/14","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 04. Juni 2014 
- 2 BvR 878/14 -, Rn. (1-17),http://www.bverfg.de/e/rk20140604_2bvr087814.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20140604_2bvr087814.html"
"1595","Beschluss vom 04. Juni 2014 - 1 BvR 1443/08","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 04. Juni 2014 
- 1 BvR 1443/08 -, Rn. (1-6),http://www.bverfg.de/e/rk20140604_1bvr144308.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140604_1bvr144308.html"
"1596","Beschluss vom 03. Juni 2014 - 2 BvR 517/13","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 03. Juni 2014 
- 2 BvR 517/13 -, Rn. (1-20),http://www.bverfg.de/e/rk20140603_2bvr051713.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle  und die Richter Gerhardt,  Huber ","den Präsidenten Voßkuhle ","und die Richter Gerhardt, ","Huber ","http://www.bverfg.de/e/rk20140603_2bvr051713.html"
"1597","Beschluss vom 03. Juni 2014 - 1 BvR 79/09","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 03. Juni 2014 
- 1 BvR 79/09 -, Rn. (1-87),http://www.bverfg.de/e/rk20140603_1bvr007909.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140603_1bvr007909.html"
"1598","Beschluss vom 26. Mai 2014 - 2 BvR 683/12","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 26. Mai 2014 
- 2 BvR 683/12 -, Rn. (1-24),http://www.bverfg.de/e/rk20140526_2bvr068312.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Gerhardt,  die Richterin Hermanns  und den Richter Müller ","den Richter Gerhardt, ","die Richterin Hermanns ","und den Richter Müller ","http://www.bverfg.de/e/rk20140526_2bvr068312.html"
"1599","Beschluss vom 22. Mai 2014 - 1 BvR 3190/13","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 22. Mai 2014 
- 1 BvR 3190/13 -, Rn. (1-42),http://www.bverfg.de/e/rk20140522_1bvr319013.html","hat die 1. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","den Vizepräsidenten Kirchhof, den Richter Eichberger und die Richterin Britz","den Vizepräsidenten Kirchhof,","den Richter Eichberger","und die Richterin Britz","http://www.bverfg.de/e/rk20140522_1bvr319013.html"
"1600","Beschluss vom 22. Mai 2014 - 1 BvR 2882/13","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 22. Mai 2014 
- 1 BvR 2882/13 -, Rn. (1-59),http://www.bverfg.de/e/rk20140522_1bvr288213.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140522_1bvr288213.html"
"1601","Beschluss vom 15. Mai 2014 - 2 BvR 324/14","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 15. Mai 2014 
- 2 BvR 324/14 -, Rn. (1-18),http://www.bverfg.de/e/rk20140515_2bvr032414.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle  und die Richter Gerhardt,  Huber ","den Präsidenten Voßkuhle ","und die Richter Gerhardt, ","Huber ","http://www.bverfg.de/e/rk20140515_2bvr032414.html"
"1602","Beschluss vom 15. Mai 2014 - 1 BvR 2681/11","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 15. Mai 2014 
- 1 BvR 2681/11 -, Rn. (1-14),http://www.bverfg.de/e/rk20140515_1bvr268111.html","hat die 3. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","den Vizepräsidenten Kirchhof, den Richter Masing und die Richterin Baer","den Vizepräsidenten Kirchhof,","den Richter Masing","und die Richterin Baer","http://www.bverfg.de/e/rk20140515_1bvr268111.html"
"1603","Beschluss vom 09. Mai 2014 - 1 BvR 2020/11","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 09. Mai 2014 
- 1 BvR 2020/11 -, Rn. (1-26),http://www.bverfg.de/e/rk20140509_1bvr202011.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140509_1bvr202011.html"
"1604","Beschluss vom 09. Mai 2014 - 1 BvR 1408/11","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 09. Mai 2014 
- 1 BvR 1408/11 -, Rn. (1-35),http://www.bverfg.de/e/rk20140509_1bvr140811.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140509_1bvr140811.html"
"1605","Beschluss vom 07. Mai 2014 - 1 BvR 3571/13","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 07. Mai 2014 
- 1 BvR 3571/13 -, Rn. (1-50),http://www.bverfg.de/e/rk20140507_1bvr357113.html","hat die 2. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","die Richter Gaier, Schluckebier, Paulus","die Richter Gaier,","Schluckebier,","Paulus","http://www.bverfg.de/e/rk20140507_1bvr357113.html"
"1606","Beschluss vom 06. Mai 2014 - 1 BvR 402/14","BVerfG, Beschluss des Ersten Senats vom 06. Mai 2014 
- 1 BvR 402/14 -, Rn. (1-8),http://www.bverfg.de/e/rk20140506_1bvr040214.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140506_1bvr040214.html"
"1607","Beschluss vom 06. Mai 2014 - 2 BvE 3/12","BVerfG, Beschluss des Zweiten Senats vom 06. Mai 2014 
- 2 BvE 3/12 -, Rn. (1-8),http://www.bverfg.de/e/es20140506_2bve000312.html","hat das Bundesverfassungsgericht - Zweiter
      Senat - unter Mitwirkung der Richterinnen und Richter ","Präsident Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf","Präsident Voßkuhle,","Lübbe-Wolff,","Gerhardt,","http://www.bverfg.de/e/es20140506_2bve000312.html"
"1608","Beschluss vom 06. Mai 2014 - 1 BvL 9/12","BVerfG, Beschluss des Ersten Senats vom 06. Mai 2014 
- 1 BvL 9/12 -, Rn. (1-91),http://www.bverfg.de/e/ls20140506_1bvl000912.html","hat das Bundesverfassungsgericht - Erster
      Senat - unter Mitwirkung der Richterinnen und Richter ","Vizepräsident Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz","Vizepräsident Kirchhof,","Gaier,","Eichberger,","http://www.bverfg.de/e/ls20140506_1bvl000912.html"
"1609","Beschluss vom 06. Mai 2014 - 2 BvR 1139/12","BVerfG, Beschluss des Zweiten Senats vom 06. Mai 2014 
- 2 BvR 1139/12 -, Rn. (1-194),http://www.bverfg.de/e/rs20140506_2bvr113912.html","hat das Bundesverfassungsgericht - Zweiter
      Senat - unter Mitwirkung der Richterinnen und Richter ","Präsident Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf","Präsident Voßkuhle,","Lübbe-Wolff,","Gerhardt,","http://www.bverfg.de/e/rs20140506_2bvr113912.html"
"1610","Beschluss vom 05. Mai 2014 - 2 BvR 1823/13","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 05. Mai 2014 
- 2 BvR 1823/13 -, Rn. (1-28),http://www.bverfg.de/e/rk20140505_2bvr182313.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","die Richterin Lübbe-Wolff,  den Richter Landau  und die Richterin Kessal-Wulf ","die Richterin Lübbe-Wolff, ","den Richter Landau ","und die Richterin Kessal-Wulf ","http://www.bverfg.de/e/rk20140505_2bvr182313.html"
"1611","Beschluss vom 29. April 2014 - 2 BvR 1572/10","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 29. April 2014 
- 2 BvR 1572/10 -, Rn. (1-33),http://www.bverfg.de/e/rk20140429_2bvr157210.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle  und die Richter Gerhardt,  Huber ","den Präsidenten Voßkuhle ","und die Richter Gerhardt, ","Huber ","http://www.bverfg.de/e/rk20140429_2bvr157210.html"
"1612","Beschluss vom 24. April 2014 - 1 BvR 1700/11","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 24. April 2014 
- 1 BvR 1700/11 -, Rn. (1-20),http://www.bverfg.de/e/rk20140424_1bvr170011.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140424_1bvr170011.html"
"1613","Beschluss vom 23. April 2014 - 1 BvR 2851/13","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 23. April 2014 
- 1 BvR 2851/13 -, Rn. (1-35),http://www.bverfg.de/e/rk20140423_1bvr285113.html","hat die 2. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","die Richter Gaier, Schluckebier, Paulus","die Richter Gaier,","Schluckebier,","Paulus","http://www.bverfg.de/e/rk20140423_1bvr285113.html"
"1614","Beschluss vom 22. April 2014 - 1 BvR 2160/11","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 22. April 2014 
- 1 BvR 2160/11 -, Rn. (1-35),http://www.bverfg.de/e/rk20140422_1bvr216011.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof  den Richter Eichberger,  und die Richterin Britz ","den Vizepräsidenten Kirchhof ","den Richter Eichberger, ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140422_1bvr216011.html"
"1615","Beschluss vom 16. April 2014 - 1 BvR 3360/13","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 16. April 2014 
- 1 BvR 3360/13 -, Rn. (1-11),http://www.bverfg.de/e/rk20140416_1bvr336013.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140416_1bvr336013.html"
"1616","Beschluss vom 08. April 2014 - 1 BvR 2933/13","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 08. April 2014 
- 1 BvR 2933/13 -, Rn. (1-21),http://www.bverfg.de/e/rk20140408_1bvr293313.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140408_1bvr293313.html"
"1617","Beschluss vom 08. April 2014 - 1 BvR 131/14","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 08. April 2014 
- 1 BvR 131/14 -, Rn. (1-4),http://www.bverfg.de/e/rk20140408_1bvr013114.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Masing  und die Richterin Baer ","den Vizepräsidenten Kirchhof, ","den Richter Masing ","und die Richterin Baer ","http://www.bverfg.de/e/rk20140408_1bvr013114.html"
"1618","Beschluss vom 07. April 2014 - 1 BvR 3121/13","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 07. April 2014 
- 1 BvR 3121/13 -, Rn. (1-39),http://www.bverfg.de/e/rk20140407_1bvr312113.html","hat die 1. Kammer des Ersten Senats des
      Bundesverfassungsgerichts durch ","den Vizepräsidenten Kirchhof, den Richter Eichberger und die Richterin Britz","den Vizepräsidenten Kirchhof,","den Richter Eichberger","und die Richterin Britz","http://www.bverfg.de/e/rk20140407_1bvr312113.html"
"1619","Beschluss vom 07. April 2014 - 1 BvR 447/14","BVerfG, Beschluss der 1. Kammer des Ersten Senats vom 07. April 2014 
- 1 BvR 447/14 -, Rn. (1-3),http://www.bverfg.de/e/rk20140407_1bvr044714.html","
                                 hat die 1. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Kirchhof,  den Richter Eichberger  und die Richterin Britz ","den Vizepräsidenten Kirchhof, ","den Richter Eichberger ","und die Richterin Britz ","http://www.bverfg.de/e/rk20140407_1bvr044714.html"
"1620","Beschluss vom 01. April 2014 - 2 BvL 2/09","BVerfG, Beschluss des Zweiten Senats vom 01. April 2014 
- 2 BvL 2/09 -, Rn. (1-67),http://www.bverfg.de/e/ls20140401_2bvl000209.html","hat das Bundesverfassungsgericht - Zweiter
      Senat - unter Mitwirkung der Richterinnen und Richter ","Präsident Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf","Präsident Voßkuhle,","Lübbe-Wolff,","Gerhardt,","http://www.bverfg.de/e/ls20140401_2bvl000209.html"
"1621","Beschluss vom 01. April 2014 - 2 BvF 1/12","BVerfG, Beschluss des Zweiten Senats vom 01. April 2014 
- 2 BvF 1/12 -, Rn. (1-112),http://www.bverfg.de/e/fs20140401_2bvf000112.html","hat das Bundesverfassungsgericht - Zweiter
      Senat - unter Mitwirkung der Richterinnen und Richter ","Präsident Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf","Präsident Voßkuhle,","Lübbe-Wolff,","Gerhardt,","http://www.bverfg.de/e/fs20140401_2bvf000112.html"
"1622","Beschluss vom 27. März 2014 - 1 BvR 3533/13","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 27. März 2014 
- 1 BvR 3533/13 -, Rn. (1-16),http://www.bverfg.de/e/rk20140327_1bvr353313.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","die Richter Gaier,  Schluckebier,  Paulus ","die Richter Gaier, ","Schluckebier, ","Paulus ","http://www.bverfg.de/e/rk20140327_1bvr353313.html"
